Price,Close,High,Low,Open,Volume
Ticker,XLY,XLY,XLY,XLY,XLY
Date,,,,,
2015-11-27,72.99993133544922,73.28666210014198,72.69527605260028,73.28666210014198,2282600
2015-11-30,72.38169860839844,73.25085356095714,72.30105874824127,73.25085356095714,8647000
2015-12-01,73.1253662109375,73.15224614851327,72.5698224349723,72.77591335005287,8187400
2015-12-02,72.48919677734375,73.25082478091426,72.34582796734401,73.23290709776485,6263500
2015-12-03,71.39603424072266,72.79384597117226,71.08242351096808,72.79384597117226,9828900
2015-12-04,72.77590942382812,72.86551148964665,71.48561780020329,71.65586651059807,7032200
2015-12-07,72.4712905883789,72.8028259182087,71.96951329886602,72.66841933388837,6535400
2015-12-08,72.2562255859375,72.61464077328105,71.67380176102935,71.86196819623947,6083500
2015-12-09,71.33329772949219,72.6415071074473,70.9928071252134,72.1128501032092,9735800
2015-12-10,71.57523345947266,72.02325070985138,71.27058501059147,71.53043583615522,4730100
2015-12-11,69.94445037841797,70.90320701306145,69.80108841427537,70.6344007667188,10104200
2015-12-14,70.30287170410156,70.4551959406648,69.2276329521006,69.98926097111806,14958000
2015-12-15,70.68817901611328,71.36020506088774,70.6344191201161,71.01971432590156,7978800
2015-12-16,71.87092590332031,72.0053324445855,70.60752082230914,71.18098235125332,12074700
2015-12-17,70.68817901611328,72.13079547245864,70.68817901611328,71.87990684286858,9224600
2015-12-18,69.57697296142578,70.58467848503007,69.53198316577387,70.56668668545673,15053000
2015-12-21,69.92788696289062,70.27878548073146,69.45102522656748,70.04485084734405,7089000
2015-12-22,70.44075012207031,70.57571269556378,69.89190735715009,70.28779574220249,6732900
2015-12-23,70.80064392089844,70.88161734160614,70.503727649341,70.62969088009605,6024800
2015-12-24,70.61170196533203,70.84562976660679,70.55771281816888,70.68367605408037,1911800
2015-12-28,70.79163360595703,70.83662340902629,70.23379162450708,70.43173577484352,4055900
2015-12-29,71.61038970947266,71.71836111095965,71.07954576390766,71.22350763255697,5740200
2015-12-30,71.03457641601562,71.58341918542372,71.01658460949415,71.55642804340064,3218900
2015-12-31,70.32377624511719,71.0885549004662,70.3147769109656,70.70166590571591,6580200
2016-01-04,69.11811065673828,69.21708272636587,68.36233143174186,69.08212018919372,13400400
2016-01-05,69.02815246582031,69.41504149285038,68.53329201340469,69.1811068367556,7424900
2016-01-06,68.35334777832031,68.71324567184317,67.80450503520626,68.02044102552743,10115400
2016-01-07,66.94976043701172,68.11942013077616,66.79679918299217,66.99474338803223,12645200
2016-01-08,66.2299575805664,67.7865061840093,66.07700320718418,67.48959677229125,10797700
2016-01-11,66.7518081665039,67.0217264334596,65.78008593070842,66.625844935695,13232700
2016-01-12,67.48961639404297,67.89449735058791,66.70683876497495,67.21969118002411,8737100
2016-01-13,65.21326446533203,67.76852693340032,65.07830187255769,67.76852693340032,14930500
2016-01-14,65.68111419677734,66.26594740841203,64.10656693863542,65.34820744812836,15919400
2016-01-15,64.3315200805664,64.7633990399414,63.58473295523212,63.97162209183443,14551500
2016-01-19,64.57442474365234,65.3302109427181,63.917617493045995,65.04229402509323,11622600
2016-01-20,64.00758361816406,64.56542559153797,62.02815587241674,63.64768579226089,21443200
2016-01-21,64.82635498046875,65.60013294700154,63.88162399253346,64.20553136756953,15944200
2016-01-22,65.96002197265625,66.21194839810698,65.5551411981076,65.87904856353862,7185100
2016-01-25,65.20426177978516,66.13099434369943,65.13228081873804,65.9510488055639,7148400
2016-01-26,66.15799713134766,66.29295974094298,65.12329294376151,65.4472004609969,7950100
2016-01-27,65.12327575683594,66.47288776764104,64.81736699600464,66.04101576829314,10642700
2016-01-28,65.96002197265625,66.13997432260696,64.79036258813778,65.9420301699013,10402200
2016-01-29,66.67981719970703,66.74279880565054,65.38418774660609,65.62712170130261,11526300
2016-02-01,67.08473205566406,67.35465728369587,65.97805372259779,66.29296191231244,8299400
2016-02-02,65.78008270263672,66.83277830751487,65.54614805783683,66.62584166611877,9048900
2016-02-03,65.60913848876953,66.4368988945762,64.34949920870444,66.40091528082968,13351800
2016-02-04,65.23125457763672,65.56416138255696,64.6644199401068,65.40220764833663,9937800
2016-02-05,63.12584686279297,64.99730337071797,62.94589450132279,64.94332109451726,12823400
2016-02-08,61.902198791503906,62.43304281729399,60.831504541172436,62.43304281729399,13176000
2016-02-09,61.8032341003418,62.523023045024026,61.002464866499885,61.110429432737355,14473700
2016-02-10,61.69525909423828,62.76595341058777,61.66826795424311,61.85721279869046,13287200
2016-02-11,61.659278869628906,62.046167957665325,60.81351973194875,60.81351973194875,13565300
2016-02-12,62.792945861816406,62.8199370023752,61.749242663667616,62.334075878872966,10927200
2016-02-16,64.3134994506836,64.33149125304047,63.34177737588971,63.71966700570508,10470400
2016-02-17,65.69910430908203,65.87005734648011,64.90733446517719,64.98831474875352,9774700
