Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Change,Daily_Change_Pct,Daily_Range,Daily_Range_Pct,MA_5,MA_20,MA_50,Price_vs_MA5,Price_vs_MA20,Price_vs_MA50,Volatility_5,Volatility_20,Volume_MA_20,Volume_Ratio,Momentum_5,Momentum_20,RSI,Market_Cap,Enterprise_Value,P_E_Ratio,Forward_P_E,PEG_Ratio,Price_to_Book,Price_to_Sales,Dividend_Yield,Beta,52_Week_High,52_Week_Low,Avg_Volume,Shares_Outstanding,Float_Shares,Revenue_Growth,Earnings_Growth,ROE,ROA,Debt_to_Equity,Current_Ratio,Quick_Ratio,Gross_Margin,Operating_Margin,Profit_Margin
2024-10-21 00:00:00-04:00,233.36389625282138,235.752787252213,233.36389625282138,235.38449096679688,36254500,0.0,0.0,2.0205947139754983,,2.3888909993916343,1.0236763431493112,,,,,,,,,,,,,,3903319179264,3790407991296,39.972645,31.65102,,59.359055,9.552326,0.41,1.094,264.375,169.21,54379123,14840390000,14814270914,0.096,0.121,1.49814,0.24545999,154.486,0.868,0.724,0.46678,0.29990998,0.24295999
2024-10-22 00:00:00-04:00,232.80651969699693,235.12572795126604,231.52250221800776,234.76739501953125,38846600,0.0,0.0,1.9608753225343207,-0.2621650834900069,3.6032257332582844,1.5477340316533943,,,,,,,,,,,,,,3903319179264,3790407991296,39.972645,31.65102,,59.359055,9.552326,0.41,1.094,264.375,169.21,54379123,14840390000,14814270914,0.096,0.121,1.49814,0.24545999,154.486,0.868,0.724,0.46678,0.29990998,0.24295999
2024-10-23 00:00:00-04:00,232.99562158724072,234.05070868615385,226.70489182210235,229.6909942626953,52287000,0.0,0.0,-3.3046273245454074,-2.162310808284773,7.3458168640515,3.152770345644028,,,,,,,,,,,,,,3903319179264,3790407991296,39.972645,31.65102,,59.359055,9.552326,0.41,1.094,264.375,169.21,54379123,14840390000,14814270914,0.096,0.121,1.49814,0.24545999,154.486,0.868,0.724,0.46678,0.29990998,0.24295999
2024-10-24 00:00:00-04:00,228.9146289407981,229.75074924052936,227.35190975750177,229.5019073486328,31109500,0.0,0.0,0.5872784078347024,-0.08232230204299196,2.3988394830275865,1.047918822019878,,,,,,,,,,,,,,3903319179264,3790407991296,39.972645,31.65102,,59.359055,9.552326,0.41,1.094,264.375,169.21,54379123,14840390000,14814270914,0.096,0.121,1.49814,0.24545999,154.486,0.868,0.724,0.46678,0.29990998,0.24295999
2024-10-25 00:00:00-04:00,228.6757506783198,232.13962556438537,228.5065400142299,230.3380126953125,38802300,0.0,0.0,1.6622620169927131,0.36431302743360483,3.633085550155471,1.588749808136047,231.93656005859376,,,-0.6892175010603796,,,,,,,,,,3903319179264,3790407991296,39.972645,31.65102,,59.359055,9.552326,0.41,1.094,264.375,169.21,54379123,14840390000,14814270914,0.096,0.121,1.49814,0.24545999,154.486,0.868,0.724,0.46678,0.29990998,0.24295999
2024-10-28 00:00:00-04:00,232.23917058038825,233.6426273223557,231.4727332926884,232.31878662109375,36087100,0.0,0.0,0.07961604070550266,0.8599422659782086,2.1698940296673186,0.934335936631423,231.32341918945312,,,0.4302925467418506,,,1.1504713108697406,,,,-0.01302424103266675,,,3903319179264,3790407991296,39.972645,31.65102,,59.359055,9.552326,0.41,1.094,264.375,169.21,54379123,14840390000,14814270914,0.096,0.121,1.49814,0.24545999,154.486,0.868,0.724,0.46678,0.29990998,0.24295999
2024-10-29 00:00:00-04:00,232.02018805231754,233.24448591818899,231.24380255804743,232.58753967285156,35417200,0.0,0.0,0.5673516205340263,0.11568287509875486,2.000683360141551,0.8622884831428645,230.8874481201172,,,0.7363291363720714,,,1.1623551109550785,,,,-0.009285170738885351,,,3903319179264,3790407991296,39.972645,31.65102,,59.359055,9.552326,0.41,1.094,264.375,169.21,54379123,14840390000,14814270914,0.096,0.121,1.49814,0.24545999,154.486,0.868,0.724,0.46678,0.29990998,0.24295999
2024-10-30 00:00:00-04:00,231.53245531359053,232.38847204702165,228.48663292359964,229.03408813476562,47070900,0.0,0.0,-2.498367178824907,-1.5277910171301867,3.9018391234220076,1.6852234034046356,230.75606689453124,,,-0.7462333636292451,,,0.8960929976005454,,,,-0.002859955959694238,,,3903319179264,3790407991296,39.972645,31.65102,,59.359055,9.552326,0.41,1.094,264.375,169.21,54379123,14840390000,14814270914,0.096,0.121,1.49814,0.24545999,154.486,0.868,0.724,0.46678,0.29990998,0.24295999
2024-10-31 00:00:00-04:00,228.27758291037028,228.76531846185907,224.32597264925337,224.8634796142578,64370100,0.0,0.0,-3.414103296112472,-1.8209553671564294,4.439345812605694,1.9447138680930995,229.82838134765626,,,-2.1602648481817144,,,1.1967214548517875,,,,-0.020210846123073112,,,3903319179264,3790407991296,39.972645,31.65102,,59.359055,9.552326,0.41,1.094,264.375,169.21,54379123,14840390000,14814270914,0.096,0.121,1.49814,0.24545999,154.486,0.868,0.724,0.46678,0.29990998,0.24295999
2024-11-01 00:00:00-04:00,219.94634980146594,224.30606415529357,219.2495956140762,221.8773651123047,65276700,0.0,0.0,1.9310153108387453,-1.3279677549576596,5.056468541217356,2.2989554251668944,228.1362518310547,,,-2.743486258109029,,,1.1647739558968737,,,,-0.036731442995470376,,,3903319179264,3790407991296,39.972645,31.65102,,59.359055,9.552326,0.41,1.094,264.375,169.21,54379123,14840390000,14814270914,0.096,0.121,1.49814,0.24545999,154.486,0.868,0.724,0.46678,0.29990998,0.24295999
