Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2015-11-27,59.35047912597656,59.77905082564733,58.908653187489485,59.61115481166903,4527800
2015-11-30,58.44472885131836,59.28861792878393,58.16196054818721,59.173738881377815,8738800
2015-12-01,58.89981460571289,58.948415728470955,58.285676822713064,58.37404066180169,6857000
2015-12-02,58.608192443847656,58.860036397781684,58.36519363574191,58.696563001406474,7965600
2015-12-03,57.048561096191406,58.92190543922228,56.99554414271412,58.81144895832554,10649800
2015-12-04,58.46681594848633,58.72749158379518,57.34899707950531,57.34899707950531,7410400
2015-12-07,58.285240173339844,58.86100079052396,57.84676976858466,58.794568952563026,6190000
2015-12-08,58.32951354980469,58.79013005640016,57.767032660394094,57.96190835487144,5605800
2015-12-09,57.062828063964844,58.258648197541355,56.57564220876829,57.913189198020795,7442800
2015-12-10,56.97425842285156,57.417155334334566,56.695231206034684,57.00969098673867,5682600
2015-12-11,55.933448791503906,56.575647932088195,55.658851502525074,56.52250246773012,8276000
2015-12-14,56.628787994384766,56.83695004160241,55.85814846937517,56.08402341594213,7991400
2015-12-15,56.96095657348633,57.57658284279034,56.84580584070548,57.399426829578466,6869600
2015-12-16,57.98849105834961,58.108075120177894,57.05398503576611,57.29757293768974,7542200
2015-12-17,57.67403030395508,58.395954356525095,57.60759847742955,58.32951577192973,7400800
2015-12-18,56.92110824584961,57.81132853135957,56.8546696597826,57.457009679878844,13804600
2015-12-21,57.48801803588867,57.7138930183068,56.96096965217612,57.43486581326597,8972600
2015-12-22,58.395965576171875,58.395965576171875,57.4968853080798,58.23208910914016,17218400
2015-12-23,57.00525665283203,60.406701223867174,56.6110753468194,60.34026939946009,57319400
2015-12-24,55.96445083618164,57.33743388725841,55.05208433148308,57.17799073783059,13889100
2015-12-28,56.52249526977539,56.58450055632039,55.627841771280956,55.99101704063081,8786800
2015-12-29,56.92110824584961,57.11598395206751,56.70851288011918,56.96539387849096,6708600
2015-12-30,56.026451110839844,57.04511520992357,55.955585993426986,57.00968265121714,5817900
2015-12-31,55.36210250854492,55.95558262549993,55.36210250854492,55.93786972624762,6454700
2016-01-04,54.49402618408203,54.83948516966622,53.909402505623866,54.130850919873694,11626800
2016-01-05,55.25581359863281,55.44182947020733,54.67118987437369,54.67118987437369,9220600
2016-01-06,54.467464447021484,54.95465038087673,54.166294407705195,54.29916145564645,6551600
2016-01-07,53.01475143432617,54.2637204124175,52.952746145834986,53.493080841859395,10881300
2016-01-08,52.14667892456055,53.84740474063155,51.96066304157883,53.200775686193836,11191300
2016-01-11,52.7490119934082,53.18305237536256,51.854361879916326,52.235253425600355,12825000
2016-01-12,53.094478607177734,53.87397808925677,52.76673585069257,53.45765392626538,8292200
2016-01-13,52.06695556640625,53.617094629582,51.969517713218174,53.617094629582,9944300
2016-01-14,51.827789306640625,52.57185616999326,50.73826343155907,52.26182971819421,9989000
2016-01-15,50.98630142211914,51.50006016049111,50.12708020185104,50.42825028263315,12208300
2016-01-19,51.65948486328125,52.323830093908875,51.08371764512348,51.54433074384278,9924300
2016-01-20,52.29726028442383,52.78444613826458,50.26879192274049,50.71168876787477,16234200
2016-01-21,53.6436653137207,54.17514015857912,52.314974822540016,52.33269110123992,16121600
2016-01-22,53.9271240234375,54.4497424670025,53.67024302698258,54.29029932292945,8430100
2016-01-25,53.7676887512207,54.29916372325147,53.696823619464354,54.11314782094425,10383400
2016-01-26,54.13086700439453,54.36117193687224,53.38679997626061,53.58167571999719,8005200
2016-01-27,52.775596618652344,54.12200023112028,52.43899402601775,53.99798963884312,8593700
2016-01-28,54.2105712890625,54.56488671663036,53.12990197005622,53.4310719419579,10207000
2016-01-29,54.92805862426758,55.06092901340199,54.21056798423798,54.21056798423798,10475200
2016-02-01,55.94673538208008,56.221332672160734,54.65347726563919,54.697766279127,8247800
2016-02-02,55.406394958496094,56.247899644736115,55.19380636390933,55.8227190765278,9458500
